	ÐÐºÅ	 µ¥´Ê	 ÀàÐÍ	 ¼ÇºÅÐÎÊ½
 	80	 0	 ³£Êý	 <num, 0 >
	80	 )	 ·Ö¸ô·û	 < ) ,->
 	81	 return	 ¹Ø¼ü×Ö	 < return ,->
	81	 1	 ³£Êý	 <num, 1 >
	81	 ;	 ·Ö¸ô·û	 < ; ,->
 	82	 else	 ¹Ø¼ü×Ö	 < else ,->
	82	 if	 ¹Ø¼ü×Ö	 < if ,->
	82	 (	 ·Ö¸ô·û	 < ( ,->
 	82	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	82	 (	 ·Ö¸ô·û	 < ( ,->
 	82	 strToken	 ±êÊ¶·û	 <id, 10 >
 	82	 ,	 ·Ö¸ô·û	 < , ,->
 	82	 "break"	 ×Ö·û´®	 < "break" ,->
 	82	 )	 ·Ö¸ô·û	 < ) ,->
 	82	 =	 ²Ù×÷·û	 < assign-op ,->
 	82	 =	 ²Ù×÷·û	 < assign-op ,->
 	82	 0	 ³£Êý	 <num, 0 >
	82	 )	 ·Ö¸ô·û	 < ) ,->
 	83	 return	 ¹Ø¼ü×Ö	 < return ,->
	83	 1	 ³£Êý	 <num, 1 >
	83	 ;	 ·Ö¸ô·û	 < ; ,->
 	84	 else	 ¹Ø¼ü×Ö	 < else ,->
	84	 if	 ¹Ø¼ü×Ö	 < if ,->
	84	 (	 ·Ö¸ô·û	 < ( ,->
 	84	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	84	 (	 ·Ö¸ô·û	 < ( ,->
 	84	 strToken	 ±êÊ¶·û	 <id, 10 >
 	84	 ,	 ·Ö¸ô·û	 < , ,->
 	84	 "case"	 ×Ö·û´®	 < "case" ,->
 	84	 )	 ·Ö¸ô·û	 < ) ,->
 	84	 =	 ²Ù×÷·û	 < assign-op ,->
 	84	 =	 ²Ù×÷·û	 < assign-op ,->
 	84	 0	 ³£Êý	 <num, 0 >
	84	 )	 ·Ö¸ô·û	 < ) ,->
 	85	 return	 ¹Ø¼ü×Ö	 < return ,->
	85	 1	 ³£Êý	 <num, 1 >
	85	 ;	 ·Ö¸ô·û	 < ; ,->
 	86	 else	 ¹Ø¼ü×Ö	 < else ,->
	86	 if	 ¹Ø¼ü×Ö	 < if ,->
	86	 (	 ·Ö¸ô·û	 < ( ,->
 	86	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	86	 (	 ·Ö¸ô·û	 < ( ,->
 	86	 strToken	 ±êÊ¶·û	 <id, 10 >
 	86	 ,	 ·Ö¸ô·û	 < , ,->
 	86	 "char"	 ×Ö·û´®	 < "char" ,->
 	86	 )	 ·Ö¸ô·û	 < ) ,->
 	86	 =	 ²Ù×÷·û	 < assign-op ,->
 	86	 =	 ²Ù×÷·û	 < assign-op ,->
 	86	 0	 ³£Êý	 <num, 0 >
	86	 )	 ·Ö¸ô·û	 < ) ,->
 	87	 return	 ¹Ø¼ü×Ö	 < return ,->
	87	 1	 ³£Êý	 <num, 1 >
	87	 ;	 ·Ö¸ô·û	 < ; ,->
 	88	 else	 ¹Ø¼ü×Ö	 < else ,->
	88	 if	 ¹Ø¼ü×Ö	 < if ,->
	88	 (	 ·Ö¸ô·û	 < ( ,->
 	88	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	88	 (	 ·Ö¸ô·û	 < ( ,->
 	88	 strToken	 ±êÊ¶·û	 <id, 10 >
 	88	 ,	 ·Ö¸ô·û	 < , ,->
 	88	 "const"	 ×Ö·û´®	 < "const" ,->
 	88	 )	 ·Ö¸ô·û	 < ) ,->
 	88	 =	 ²Ù×÷·û	 < assign-op ,->
 	88	 =	 ²Ù×÷·û	 < assign-op ,->
 	88	 0	 ³£Êý	 <num, 0 >
	88	 )	 ·Ö¸ô·û	 < ) ,->
 	89	 return	 ¹Ø¼ü×Ö	 < return ,->
	89	 1	 ³£Êý	 <num, 1 >
	89	 ;	 ·Ö¸ô·û	 < ; ,->
 	90	 else	 ¹Ø¼ü×Ö	 < else ,->
	90	 if	 ¹Ø¼ü×Ö	 < if ,->
	90	 (	 ·Ö¸ô·û	 < ( ,->
 	90	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	90	 (	 ·Ö¸ô·û	 < ( ,->
 	90	 strToken	 ±êÊ¶·û	 <id, 10 >
 	90	 ,	 ·Ö¸ô·û	 < , ,->
 	90	 "continue"	 ×Ö·û´®	 < "continue" ,->
 	90	 )	 ·Ö¸ô·û	 < ) ,->
 	90	 =	 ²Ù×÷·û	 < assign-op ,->
 	90	 =	 ²Ù×÷·û	 < assign-op ,->
 	90	 0	 ³£Êý	 <num, 0 >
	90	 )	 ·Ö¸ô·û	 < ) ,->
 	91	 return	 ¹Ø¼ü×Ö	 < return ,->
	91	 1	 ³£Êý	 <num, 1 >
	91	 ;	 ·Ö¸ô·û	 < ; ,->
 	92	 else	 ¹Ø¼ü×Ö	 < else ,->
	92	 if	 ¹Ø¼ü×Ö	 < if ,->
	92	 (	 ·Ö¸ô·û	 < ( ,->
 	92	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	92	 (	 ·Ö¸ô·û	 < ( ,->
 	92	 strToken	 ±êÊ¶·û	 <id, 10 >
 	92	 ,	 ·Ö¸ô·û	 < , ,->
 	92	 "default"	 ×Ö·û´®	 < "default" ,->
 	92	 )	 ·Ö¸ô·û	 < ) ,->
 	92	 =	 ²Ù×÷·û	 < assign-op ,->
 	92	 =	 ²Ù×÷·û	 < assign-op ,->
 	92	 0	 ³£Êý	 <num, 0 >
	92	 )	 ·Ö¸ô·û	 < ) ,->
 	93	 return	 ¹Ø¼ü×Ö	 < return ,->
	93	 1	 ³£Êý	 <num, 1 >
	93	 ;	 ·Ö¸ô·û	 < ; ,->
 	94	 else	 ¹Ø¼ü×Ö	 < else ,->
	94	 if	 ¹Ø¼ü×Ö	 < if ,->
	94	 (	 ·Ö¸ô·û	 < ( ,->
 	94	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	94	 (	 ·Ö¸ô·û	 < ( ,->
 	94	 strToken	 ±êÊ¶·û	 <id, 10 >
 	94	 ,	 ·Ö¸ô·û	 < , ,->
 	94	 "double"	 ×Ö·û´®	 < "double" ,->
 	94	 )	 ·Ö¸ô·û	 < ) ,->
 	94	 =	 ²Ù×÷·û	 < assign-op ,->
 	94	 =	 ²Ù×÷·û	 < assign-op ,->
 	94	 0	 ³£Êý	 <num, 0 >
	94	 )	 ·Ö¸ô·û	 < ) ,->
 	95	 return	 ¹Ø¼ü×Ö	 < return ,->
	95	 1	 ³£Êý	 <num, 1 >
	95	 ;	 ·Ö¸ô·û	 < ; ,->
 	96	 else	 ¹Ø¼ü×Ö	 < else ,->
	96	 if	 ¹Ø¼ü×Ö	 < if ,->
	96	 (	 ·Ö¸ô·û	 < ( ,->
 	96	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	96	 (	 ·Ö¸ô·û	 < ( ,->
 	96	 strToken	 ±êÊ¶·û	 <id, 10 >
 	96	 ,	 ·Ö¸ô·û	 < , ,->
 	96	 "do"	 ×Ö·û´®	 < "do" ,->
 	96	 )	 ·Ö¸ô·û	 < ) ,->
 	96	 =	 ²Ù×÷·û	 < assign-op ,->
 	96	 =	 ²Ù×÷·û	 < assign-op ,->
 	96	 0	 ³£Êý	 <num, 0 >
	96	 )	 ·Ö¸ô·û	 < ) ,->
 	97	 return	 ¹Ø¼ü×Ö	 < return ,->
	97	 1	 ³£Êý	 <num, 1 >
	97	 ;	 ·Ö¸ô·û	 < ; ,->
 	98	 else	 ¹Ø¼ü×Ö	 < else ,->
	98	 if	 ¹Ø¼ü×Ö	 < if ,->
	98	 (	 ·Ö¸ô·û	 < ( ,->
 	98	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	98	 (	 ·Ö¸ô·û	 < ( ,->
 	98	 strToken	 ±êÊ¶·û	 <id, 10 >
 	98	 ,	 ·Ö¸ô·û	 < , ,->
 	98	 "else"	 ×Ö·û´®	 < "else" ,->
 	98	 )	 ·Ö¸ô·û	 < ) ,->
 	98	 =	 ²Ù×÷·û	 < assign-op ,->
 	98	 =	 ²Ù×÷·û	 < assign-op ,->
 	98	 0	 ³£Êý	 <num, 0 >
	98	 )	 ·Ö¸ô·û	 < ) ,->
 	99	 return	 ¹Ø¼ü×Ö	 < return ,->
	99	 1	 ³£Êý	 <num, 1 >
	99	 ;	 ·Ö¸ô·û	 < ; ,->
 	100	 else	 ¹Ø¼ü×Ö	 < else ,->
	100	 if	 ¹Ø¼ü×Ö	 < if ,->
	100	 (	 ·Ö¸ô·û	 < ( ,->
 	100	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	100	 (	 ·Ö¸ô·û	 < ( ,->
 	100	 strToken	 ±êÊ¶·û	 <id, 10 >
 	100	 ,	 ·Ö¸ô·û	 < , ,->
 	100	 "enum"	 ×Ö·û´®	 < "enum" ,->
 	100	 )	 ·Ö¸ô·û	 < ) ,->
 	100	 =	 ²Ù×÷·û	 < assign-op ,->
 	100	 =	 ²Ù×÷·û	 < assign-op ,->
 	100	 0	 ³£Êý	 <num, 0 >
